DeltaT,aspectRatio,aspectRatio_error,shapeFactor,shapeFactor_error,MSD2500,MSD2500_error,MSRD2500,MSRD2500_error,tauEff,tauEff_error,corrLenght,corrLenght_error,v2,v2_error,T1Rate,T1Rate_error,T1SuccessRate,T1SuccessRate_error
0.0,1.4815837712555306,0.0011651157107685074,3.9153048945306117,0.0004240113407672943,60.42549202433063,2.2331872884927657,105.56755578035745,3.1542519375551956,2.9967417306983393,0.0187941285147018,0.5431067406544098,0.016343428008606827,0.003484247998925051,7.340282429134625e-6,0.020362159999999997,7.06346090808182e-5,0.9995705709915524,0.00019073624015431643
0.05,1.4831743031039726,0.0023589156885100784,3.9179831309261672,0.0004686946111515692,62.368648886936455,3.8482982125830585,108.20447381122227,5.653071209661048,3.0691537208830253,0.017349432385057133,0.537841041063626,0.012704061980984335,0.003538511062084857,1.0732417997277243e-5,0.021364479999999998,0.00011069404681372897,0.9990909851811587,0.0003040034614080577
0.1,1.485248675947307,0.0025498266149979023,3.9270850999539917,0.0003480204694283243,65.56003305959237,4.108146866285737,117.83825094573098,4.755563708187644,3.1235428341567415,0.015486775686538126,0.5148132112787324,0.014192541800687035,0.0037113774068512967,9.696342315065527e-6,0.02461672,0.00013492713589193268,0.9960003339529566,0.0009376418151185589
0.15,1.4989350445428014,0.0016754734075278177,3.9456070782586345,0.00036627342714484285,77.1402714726752,1.9516437086447025,139.02483358285278,5.401427944930501,3.2822618766034206,0.010831082021701499,0.4792222637962637,0.012751560216242928,0.004000322545218963,5.779660164683607e-6,0.029756720000000004,8.567176897905193e-5,0.9425584512230902,0.003896831737758435
