m,F_0=0.015 C_aa',F_0=0.015 stdv C_aa',F_0=0.03 C_aa',F_0=0.03 stdv C_aa',F_0=0.045 C_aa',F_0=0.045 stdv C_aa',F_0=0.06 C_aa',F_0=0.06 stdv C_aa',F_0=0.075 C_aa',F_0=0.075 stdv C_aa',F_0=0.105 C_aa',F_0=0.105 stdv C_aa',F_0=0.135 C_aa',F_0=0.135 stdv C_aa'
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,NaN,NaN,NaN,NaN
1.0,0.3960863199229382,0.018512076701467844,0.4551495746303451,0.012865901640563416,0.359966608215478,0.0070147176391516216,0.2953573242720599,0.003005047970134454,0.25354124038169357,0.0014679732545873798,NaN,NaN,NaN,NaN
2.0,0.20832955545793488,0.023991881643517177,0.20854934157088997,0.013323629882938847,0.10140328769916847,0.007851518497178777,0.0484798360792912,0.003113102947482278,0.02093733453016456,0.0016494326019149835,NaN,NaN,NaN,NaN
3.0,0.13818697425456067,0.023996588757316892,0.10236669245179049,0.011070681701416884,0.02235343580601667,0.006455068988146602,-0.003098676826714683,0.0016070515289805093,-0.011596214492708848,0.0014231856993707846,NaN,NaN,NaN,NaN
4.0,0.09669784753150938,0.02589854984731489,0.0484733667292863,0.008319673566186467,-0.004173653699262098,0.004560904420314637,-0.013100459366764395,0.0018672386102473726,-0.012608788565225154,0.0013621264646638722,NaN,NaN,NaN,NaN
5.0,0.06526424880241533,0.025344798334741347,0.019818896273650556,0.007150211247780628,-0.01087701518160933,0.0037816452813519423,-0.010813412010844294,0.001626455208457719,-0.007686281002589708,0.0010690505093904222,NaN,NaN,NaN,NaN
6.0,0.04353101976561209,0.019393600779776927,0.0043579660134733566,0.008839555494478187,-0.010753360211307045,0.0034528103555993583,-0.006188072880716624,0.0009949648098805798,-0.0034056555571504487,0.0011370852718204988,NaN,NaN,NaN,NaN
7.0,0.026513917473196296,0.013131874916812893,-0.0034268399425247975,0.009199530133900709,-0.009091815751842569,0.0029170117476100283,-0.0031114804552028683,0.0005413208693571448,-0.0011516496342470078,0.0006667875903409539,NaN,NaN,NaN,NaN
8.0,0.013616873446131928,0.011672236581325464,-0.006534759197909261,0.008787537993295494,-0.006302201487493146,0.0026808971175035397,-0.0009552369504810334,0.0009917971542760795,-0.0003964759661977979,0.0008516872721169123,NaN,NaN,NaN,NaN
9.0,0.001985872441022614,0.010494669389737653,-0.007961590493953676,0.007986282269777281,-0.0038537327687383125,0.002398759543761523,-0.0003640581428991573,0.0009315441822203065,-0.0001405527330691759,0.0005774910041420237,NaN,NaN,NaN,NaN
10.0,-0.00791407919091525,0.007102848310368886,-0.009106675024515013,0.0068369227646560594,-0.0023979167222470134,0.0024931823806666202,-0.0004022961330125919,0.0006520599107189485,-0.0003371244637593712,0.0007030503828176503,NaN,NaN,NaN,NaN
11.0,-0.013144542593653882,0.006057440712526643,-0.009249406917982154,0.005010661954813036,-0.0013106043454391883,0.0022016770357740655,-0.00010774617877802375,0.0009073812048403313,-0.0002951677203718211,0.0007266456129228857,NaN,NaN,NaN,NaN
12.0,-0.018750534257413583,0.00542497096731303,-0.008636479813486593,0.0038015757127877036,-0.0006836534742228263,0.0012830602830511916,0.00019304909123681865,0.0008709216090328156,-0.00021186997876120726,0.0007520749101999513,NaN,NaN,NaN,NaN
13.0,-0.021543233921555563,0.006068034080631665,-0.007982887767503768,0.004797023139766567,-0.0002795348092869992,0.0015191729301586637,0.00044327289919029257,0.0010776826928524542,-0.000308408387783069,0.0005113160709737298,NaN,NaN,NaN,NaN
14.0,-0.0240040805431575,0.008253897555807846,-0.007913094451306207,0.005570087685245006,-0.0009276010146607335,0.0019915464838169846,8.253612150547434e-5,0.0010379802206803442,-0.0006944379126159645,0.00053025750279479,NaN,NaN,NaN,NaN
15.0,-0.0273711663894693,0.008232484612111141,-0.0059620429806052175,0.005159094686797687,-0.0003714901688600626,0.0020698000908038958,0.000707139835140183,0.0014045897640632317,0.00015825278475213892,0.0008037655788051011,NaN,NaN,NaN,NaN
16.0,-0.026894507294920027,0.011524793808468962,-0.0005333904916703314,0.0060639592319658925,0.0009760168994413897,0.002759989733177963,0.001215268112390847,0.0014237775671913815,0.0009509656829250967,0.0011052609286246197,NaN,NaN,NaN,NaN
17.0,-0.027311657881859665,0.017208176858528348,-0.00027324447781634667,0.007396388332171642,0.001321402944545689,0.004647914410765035,0.0006256540620272651,0.0009712049355375514,0.0007353068998496955,0.0010537180084262798,NaN,NaN,NaN,NaN
18.0,-0.026770489089910966,0.021990757594546353,-0.002791378891519858,0.010697672794989397,0.0012594840584430969,0.006168755312312644,4.43966756246503e-5,0.0014024664695866194,0.0006724689356310654,0.0010746157836523744,NaN,NaN,NaN,NaN
19.0,-0.023980637247903856,0.02431833620328041,-0.00559516309819785,0.017155389617110647,-0.0001094371813068631,0.008019584325779802,-0.0017805645633396819,0.002394422772405046,-0.00014892492577715978,0.001765718172068801,NaN,NaN,NaN,NaN
20.0,-0.025159076652209605,0.031849463114137916,-0.010709030723115031,0.02247394432427658,-0.002843251467232337,0.009207704353177148,-0.004673633539327687,0.0033324707125029066,-0.0005483907552053935,0.0023821767763685,NaN,NaN,NaN,NaN
