t,F_0=0.015 C_vv(t),F_0=0.015 stdv C_vv(t),F_0=0.03 C_vv(t),F_0=0.03 stdv C_vv(t),F_0=0.045 C_vv(t),F_0=0.045 stdv C_vv(t),F_0=0.06 C_vv(t),F_0=0.06 stdv C_vv(t),F_0=0.075 C_vv(t),F_0=0.075 stdv C_vv(t),F_0=0.105 C_vv(t),F_0=0.105 stdv C_vv(t),F_0=0.135 C_vv(t),F_0=0.135 stdv C_vv(t)
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,NaN,NaN,NaN,NaN
0.05,0.9761671612252287,0.001369183957644864,0.974519716545562,0.0028269306885705227,0.981229030243661,0.0018069728953107734,0.9836574951403438,0.0009975939629372212,0.9840889821046487,0.0013202314387977861,NaN,NaN,NaN,NaN
0.1,0.9589699027596923,0.0024615768444835413,0.9585271388680816,0.005031880289174097,0.9712995905825604,0.0028839996961060165,0.9756757594861479,0.0014158059354542252,0.9765567484431513,0.001966057355878032,NaN,NaN,NaN,NaN
0.15000000000000002,0.9436011262589552,0.0034643376604391873,0.9440479006647673,0.007180191397009442,0.9622838528092611,0.003874754680754145,0.968244799054675,0.0017980163606207062,0.9648137689787705,0.006778027125139309,NaN,NaN,NaN,NaN
0.2,0.9295305136761378,0.004587524719628923,0.9311518741038384,0.008672676910947032,0.9542039240699316,0.004774823959751154,0.9619237879053152,0.0022250282018832952,0.9634600576325987,0.0022459518794831243,NaN,NaN,NaN,NaN
0.25,0.9162882130343828,0.005327865455074858,0.9188017633689096,0.010365092203626877,0.9466085978784221,0.005810623845413004,0.9558154245464566,0.002497487319553894,0.9575882081037734,0.0026860550079502747,NaN,NaN,NaN,NaN
0.30000000000000004,0.9039213387331445,0.006282449242878012,0.9075035977750469,0.011836766100170955,0.9397372386564324,0.0065945687194172075,0.9501065421866246,0.0030505422571207677,0.9474088096099561,0.006861568495460904,NaN,NaN,NaN,NaN
0.35000000000000003,0.892301074354329,0.006990593088565135,0.8968079806745735,0.013083952633023135,0.9332459413918908,0.007299539278739472,0.944823304674617,0.0030562765701316256,0.9472785211551794,0.003100160650494527,NaN,NaN,NaN,NaN
0.4,0.881021256047131,0.00774487573271324,0.8869722132720395,0.014282635110029931,0.9269026726221157,0.007808874246048463,0.9395534566696737,0.0032320669263225686,0.9423839681842024,0.0033748746336204178,NaN,NaN,NaN,NaN
0.45,0.8708067302701341,0.008218904690643625,0.8778850671550273,0.015414744040024948,0.9214315664000298,0.008483710661991535,0.9351704094439629,0.003636180186055425,0.9334104765878578,0.006979647417529703,NaN,NaN,NaN,NaN
0.5,0.860870059954111,0.008608531852350405,0.8693055006524777,0.016462148970103015,0.916193490891971,0.009098706520322948,0.9308165541110596,0.003867239654200819,0.9340655102250823,0.003545994999631629,NaN,NaN,NaN,NaN
0.55,0.8515673378651096,0.008940389304975014,0.8612073265978332,0.01730306824199261,0.9115050322244882,0.009371887924684272,0.9274240578434464,0.004207268088031006,0.9304190592468977,0.0036264635111654332,NaN,NaN,NaN,NaN
0.6000000000000001,0.842476182353491,0.009676413885202724,0.8534861009328469,0.01807448425027477,0.9068200356532875,0.00994357071882779,0.9232307123640153,0.004324176083891083,0.9220948050634902,0.0069178600680779275,NaN,NaN,NaN,NaN
0.65,0.8339786416451329,0.010047340466308053,0.846165577558671,0.01904294676617445,0.9024719132294374,0.010326623385833131,0.9197701059263486,0.004447132628035319,0.9233663911948223,0.004049019652767329,NaN,NaN,NaN,NaN
0.7000000000000001,0.8255788285842002,0.010521687265943012,0.8394291876514581,0.01994020677948257,0.89838291074633,0.010723731750244818,0.9163035959969846,0.004500029990378755,0.9203490143744155,0.0041178527639592725,NaN,NaN,NaN,NaN
0.75,0.8176034746668339,0.010992799803332304,0.8328601711848338,0.02077097682678421,0.8947877123120207,0.011016850575738304,0.9133697737846769,0.004750727145858886,0.9130114315652731,0.006998380293205127,NaN,NaN,NaN,NaN
0.8,0.8099378319886703,0.011442465815792764,0.8267895679886837,0.021598631182971454,0.8911460499846319,0.011237301830094432,0.9103764541160807,0.0048763644185099335,0.9146945195303996,0.0041587029906064825,NaN,NaN,NaN,NaN
0.8500000000000001,0.8026180930028634,0.011919707888600646,0.8209735445821463,0.02232592783027183,0.8878472295567343,0.011671765387087238,0.9079457173358876,0.004880217045642938,0.9119320383845645,0.003967068843412415,NaN,NaN,NaN,NaN
0.9,0.7955160408853776,0.012352380117231622,0.8155896317448583,0.023049217494338876,0.8846372497972146,0.011969057403759724,0.9055486991933643,0.004980230082188436,0.905000665088749,0.007064362639757741,NaN,NaN,NaN,NaN
0.9500000000000001,0.7884742244620309,0.012987083190178822,0.8102533195042458,0.023662010632986088,0.8815976908016232,0.012089601381015506,0.9029855507156557,0.004893580713915038,0.9066851683369337,0.004159217632615536,NaN,NaN,NaN,NaN
1.0,0.7979437852425695,0.007338169622752789,0.801054807016729,0.016017086951028454,0.8781137035158922,0.008447356462478992,0.9010967903491656,0.002728155740771134,0.9056691098390633,0.002365406807306244,NaN,NaN,NaN,NaN
1.5,0.746000488602178,0.009279255785006088,0.764791531379965,0.017519843969408127,0.861208515084346,0.009053617773697493,0.878221345999916,0.0032053430468999802,0.8768762572389618,0.002582405835574726,NaN,NaN,NaN,NaN
2.0,0.7068993669882226,0.010088383558400405,0.7492729825696189,0.018638795503448432,0.843206345194419,0.009872033244082068,0.8549586749922875,0.0035839125300711613,0.8518921678964431,0.0029448877014212615,NaN,NaN,NaN,NaN
2.5,0.678495246341271,0.011626930021742322,0.7406399643747077,0.018296744640312113,0.8239869028067328,0.01021319881538979,0.8349080428701854,0.003631091095164114,0.8298947547293721,0.003587916292927159,NaN,NaN,NaN,NaN
3.0,0.6569355403001053,0.012916923802341084,0.7270776803702447,0.018993797028574625,0.8090392990617931,0.010772672506119295,0.8167591187869464,0.003905713370428555,0.8097585895226601,0.003463493547430256,NaN,NaN,NaN,NaN
3.5,0.6425473313934107,0.01324753794725017,0.7115080346103297,0.01977249636720162,0.7944940194822954,0.010601908468447396,0.8002760609958773,0.004139017222527012,0.791147729557979,0.003279499651809408,NaN,NaN,NaN,NaN
4.0,0.6346817858850153,0.013917299735816388,0.6987364081258891,0.019544376762663043,0.781234567954703,0.010720114485064686,0.7853291141083831,0.004195011259152989,0.7743185962429577,0.0037257175428284,NaN,NaN,NaN,NaN
4.5,0.6299781854992161,0.013827216033091835,0.6883117506831014,0.02016391815236595,0.7690892714771209,0.011127824115638433,0.771389043668648,0.004366232613145698,0.7593381137197163,0.0042300979028178295,NaN,NaN,NaN,NaN
5.0,0.6238842136598872,0.013374366434269768,0.6777797882674473,0.021018438966446867,0.7574818451438843,0.011177013605779324,0.7592170623125684,0.004484150858074485,0.7461560426152295,0.00421168649583457,NaN,NaN,NaN,NaN
5.5,0.6167512414562881,0.012774359922885004,0.6675844402579502,0.021705196668316436,0.7474644120242986,0.01184303403036746,0.7480737602857557,0.005153406048956056,0.7343117295894991,0.004645520634435138,NaN,NaN,NaN,NaN
6.0,0.6077270541902353,0.01332989046328127,0.6578910816836331,0.022500251131166504,0.736904239136997,0.01268246789818719,0.7371580756012384,0.005070314280886736,0.7217181923040666,0.004974702608041695,NaN,NaN,NaN,NaN
6.5,0.5983728557044069,0.014011875984813654,0.6497881245119854,0.022296379556838122,0.7272295645481248,0.012484671744062252,0.726911748586855,0.005463618801560581,0.7107984024459365,0.005095472478967021,NaN,NaN,NaN,NaN
7.0,0.5888746844018173,0.013603907366351527,0.6409037719740244,0.02294743438520498,0.719338089976105,0.013321012708446123,0.7182009853040722,0.0055499285917658975,0.7006347773738067,0.004829242843013122,NaN,NaN,NaN,NaN
7.5,0.580724716646152,0.013631833205429978,0.6343031999017986,0.023607491716790604,0.7111548309225753,0.013853745423953465,0.7099610805306592,0.005937158479288257,0.691393287259113,0.005036884205755252,NaN,NaN,NaN,NaN
8.0,0.5740430195276921,0.014650848565735631,0.6269330217142182,0.023182854620494426,0.7038892041928023,0.014028986139177371,0.7024125670908961,0.005969125633646459,0.6830501578580651,0.006067073445033388,NaN,NaN,NaN,NaN
8.5,0.5681460637022463,0.014073579517719575,0.6199729038034665,0.023653531467970224,0.6968731464339448,0.014314519304785006,0.6948184564534976,0.005557641760687007,0.6747026038404644,0.0059802307077756,NaN,NaN,NaN,NaN
9.0,0.5628900680062208,0.014270861953957508,0.6128426994454145,0.0237052733116456,0.6900976179250874,0.014644712299122136,0.6882264898032027,0.006362950125940792,0.6667753635654958,0.006409346849155484,NaN,NaN,NaN,NaN
9.5,0.5581687855381151,0.014271753040762461,0.6060349671502809,0.024139229620091657,0.6839316718569919,0.015030085933369979,0.6818737322403295,0.006224583539907186,0.6596436493918211,0.005924944399819663,NaN,NaN,NaN,NaN
10.0,0.5516795569449526,0.014670621294566892,0.6005483545897798,0.024759484633210174,0.6781537935186794,0.015193858839836065,0.6757690696836628,0.006372901137703633,0.6528062440581838,0.005644638671941151,NaN,NaN,NaN,NaN
10.5,0.5450188103496069,0.015263129248404941,0.5949663324881748,0.024678744888826536,0.6727694295736925,0.015573535655686933,0.6699558939059809,0.006069471278951532,0.6470842063637673,0.005932094616561919,NaN,NaN,NaN,NaN
11.0,0.5395043438498432,0.015498644299237078,0.5894695033474032,0.02443967977604169,0.6680993879046806,0.015138540843424919,0.6649786012331669,0.00602007136461927,0.6400725143484632,0.00581788559770223,NaN,NaN,NaN,NaN
