t,tau_T=0.1 C_vv(t),tau_T=0.1 stdv C_vv(t),tau_T=1.0 C_vv(t),tau_T=1.0 stdv C_vv(t),tau_T=2.0 C_vv(t),tau_T=2.0 stdv C_vv(t),tau_T=5.0 C_vv(t),tau_T=5.0 stdv C_vv(t),tau_T=10.0 C_vv(t),tau_T=10.0 stdv C_vv(t),tau_T=20.0 C_vv(t),tau_T=20.0 stdv C_vv(t),tau_T=50.0 C_vv(t),tau_T=50.0 stdv C_vv(t),tau_T=100.0 C_vv(t),tau_T=100.0 stdv C_vv(t),tau_T=500.0 C_vv(t),tau_T=500.0 stdv C_vv(t),tau_T=1000.0 C_vv(t),tau_T=1000.0 stdv C_vv(t)
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.05,0.45231224162608463,0.0014253809809890018,0.8364224597669343,0.0006424530128347317,0.8769211385459496,0.0005746515456323443,0.9096758003536589,0.0008412800273115106,0.9260379926664495,0.0007139232675067205,0.9369955451590388,0.0006317896256317737,0.9456817243260637,0.0005446557548633482,0.949634607504073,0.001390942715674885,0.952501471970662,0.002865884468409855,0.9583440205647726,0.003183721752254442
0.1,0.22552292048968217,0.00184819502452233,0.7330501747963702,0.0010302845465151656,0.7974540190332643,0.000754962441929484,0.8511006999059532,0.0006283281176424295,0.8782410486771234,0.0009450773845555081,0.8974142756668854,0.000964318191598176,0.9160194234927113,0.0006596904543330068,0.9271989396578904,0.0018667557801932474,0.9395616766728827,0.0025863601911244195,0.9392891080969135,0.001859225175341437
0.15000000000000002,0.1025345773182544,0.001612883424261532,0.6501642229089654,0.0007797020963276201,0.7317830644819708,0.0010205407365336543,0.8006139577367689,0.0016729419345011755,0.8365237004499413,0.0018087437043464677,0.8614496512303911,0.0016706546532773304,0.8870641057513216,0.0009721706093386524,0.8977475894994641,0.002546903585548376,0.9163147432067482,0.0019048617028877377,0.9169764489557599,0.003564486403091336
0.2,0.03384799840380652,0.0017330617031273445,0.5798699969777756,0.0015958769093873486,0.6753983312555649,0.0009515530899816716,0.7578398241570755,0.0010405648682417438,0.8008621581462053,0.0012211692318813724,0.8317597079792514,0.0013509067317465252,0.8628281139805773,0.0009199863074529726,0.881451092876273,0.002196771593891773,0.9045491827857257,0.0032049524116210763,0.901477622141069,0.001970410353153426
0.25,-0.0024143274747980316,0.0012946288318220645,0.5199391927051356,0.001359769052047851,0.6254743306517178,0.0006950252948123769,0.7185890430000152,0.0010549736355832371,0.7675538251050866,0.00105468895452918,0.8032896805489131,0.0012106694267009271,0.839360997175962,0.0008831282466842348,0.8598629245981542,0.0009786220631234463,0.888160141732348,0.002759978103972321,0.8843927683544599,0.002436702991301917
0.30000000000000004,-0.021665561977691705,0.0009975094491363361,0.4669897676418982,0.0014275789114605976,0.5811688069700922,0.0010508919205747677,0.6824284370272599,0.0019335565246907088,0.7370340769986623,0.0016048067526712815,0.7766742933100472,0.0009613248242204004,0.8177633420258335,0.0010507629971226438,0.8396573662586262,0.0013990774723515538,0.8741037789143963,0.0018297819304936077,0.8694200999767535,0.0028417055030960153
0.35000000000000003,-0.030915893899215036,0.0018343023085590408,0.41992256662252003,0.0014002781010096232,0.5409883460501906,0.0008497599977558233,0.6503382246577127,0.001103697656082573,0.7098995452530749,0.0011109189903687356,0.7532924781789149,0.0016872566961265321,0.7980028034509565,0.0010018339668972315,0.825011927542951,0.0014343305429209785,0.8630290743363747,0.0023744202874732656,0.8566525875486585,0.0023158209103707177
0.4,-0.03494224841107063,0.0019278190446714797,0.37853064810322407,0.0012671456920262153,0.5039487083051905,0.00109958886375624,0.620350825675905,0.0011567447003522234,0.6834326639926452,0.0011380767286011226,0.729958425819964,0.0016041798712589338,0.77801889324779,0.0010504345809172592,0.8082226610452967,0.003018012816428006,0.8482751376683975,0.0038553307904615306,0.8425332258290388,0.002088807354061106
0.45,-0.03579724464254393,0.0018451029083955668,0.34008449287071274,0.000996097463542526,0.46985997580115424,0.001033590410572432,0.5915411997033282,0.0019368273113185123,0.6586459833006464,0.00098560265058971,0.7083400187492822,0.0014377945479748862,0.761522282979004,0.0010581152497664973,0.791062465562265,0.002568959790001873,0.84020522933165,0.0016922647909790333,0.8317101224978988,0.0035398979672176863
0.5,-0.03424841379549681,0.0014005188504036062,0.30560376636640674,0.001156640367090564,0.43876956231864844,0.001202708425303708,0.5655243210948404,0.001195362476665516,0.6358040671595273,0.001531021084136804,0.6882079592243695,0.0018695493128247785,0.7429525449214409,0.0009376931179074803,0.7770296424729483,0.0029325727050773806,0.8247837932834583,0.003979694347189813,0.8181477984153409,0.002091710849996127
0.55,-0.03277389412248617,0.001025066814808386,0.2749887040268128,0.0014082643539915882,0.41098442988390926,0.001500838169682115,0.5428349806144785,0.0014434641237562353,0.6162968893818894,0.0009215726969657688,0.6722248751226787,0.0012367965846400348,0.7328546066367219,0.0008447282292454177,0.7681545348585016,0.0029140749440010744,0.8279316614646899,0.00244191931956186,0.8151500334050372,0.004947834995348059
0.6000000000000001,-0.03089332993695775,0.0015905904119029766,0.24548791833711375,0.0013202928190625563,0.3828939264945385,0.0013821224889023363,0.5174767011653627,0.002259113335527943,0.5926872585929519,0.0008143658344601534,0.6501851666992056,0.0011180352070007636,0.7108563684754511,0.0008809994074093695,0.7461450433712373,0.0015632858031649974,0.8022584078515212,0.0020661693710409515,0.795517992131698,0.0031360105709837887
0.65,-0.02911718494834979,0.001163751207538891,0.21925678354011796,0.0010451284573892658,0.35785877769532803,0.0014917584874395823,0.49575822836900646,0.001388790450132088,0.5736855626071368,0.001950451086547871,0.6333885875481502,0.0019393774394880652,0.6971518728049988,0.0008035121903126097,0.7369616951481655,0.0021457147773126213,0.7975659032642597,0.002570825663059676,0.7878503088740378,0.0025867093098766087
0.7000000000000001,-0.027523373408006153,0.0016708086715422877,0.195417597403635,0.000864671889674016,0.3334782342028636,0.0014385323025719382,0.47493196906974466,0.0016938720169886222,0.554587024853603,0.001904494480740171,0.6161249035863604,0.002240161214001296,0.6816138684136621,0.00063178003125865,0.7221775943572939,0.002793064410197781,0.7833154446066602,0.0035912043291423464,0.775537802855245,0.002524760437312537
0.75,-0.02456949201146106,0.0020179992738713548,0.17329897989489454,0.0012549511287804262,0.31166610242752624,0.0010450183951837414,0.4550534847940818,0.0016686114851063123,0.5366093026904628,0.0010638665387012974,0.599892262920614,0.0011637283563146988,0.6681985526566299,0.0006637183127597904,0.7089090124369107,0.0016962454278319616,0.7757374782484349,0.0018583007194582196,0.7667576824969151,0.003277841609334916
0.8,-0.023208311748891,0.002231817345516439,0.15315026765318718,0.0011938666907443832,0.29092794314253567,0.000994511039154531,0.4363411006446622,0.00165201790631921,0.5196837968512835,0.0017135592024340083,0.584640062653204,0.001953665588887297,0.6542073184524518,0.0011108639056172155,0.6983739679988318,0.002240166153554619,0.7656308875354781,0.003151291214542823,0.7569610479022557,0.0028295701619829618
0.8500000000000001,-0.02176677682078773,0.0016772506001180951,0.1344481129520842,0.0009443514955203695,0.27123291577000563,0.0013499032604592784,0.4182941803121447,0.0014982158299317388,0.5031560838947758,0.0017143901264059039,0.5697630719807285,0.002113311215157336,0.6410540821908686,0.0011882195336740601,0.687177771460084,0.0028690206161733384,0.756934748220212,0.0035896991818679335,0.7482388956501894,0.002546814416247804
0.9,-0.020566622876124686,0.0018382829840194962,0.11713357279696639,0.00135005122299458,0.25351337563608994,0.0010758873738758036,0.4005577570950871,0.0018948694582832475,0.487151518035414,0.0008351315722386024,0.5549730308836137,0.0014378873887961263,0.6289369529501433,0.0014909359242278755,0.6733071070158846,0.002293195852188295,0.7485249028663924,0.001733914278240924,0.739298375883864,0.0037788646356518374
0.9500000000000001,-0.020019027203428807,0.001949128520074974,0.1012828198387026,0.0011519559918230528,0.23604717466261302,0.0013752715868738232,0.38473122528143494,0.0016577247992984672,0.4723880797141825,0.0018273398275368748,0.5412909682184516,0.0022850001366776615,0.6160658504428672,0.001706440111073487,0.6647826293641519,0.00334396363168176,0.7385744163099031,0.0044702256768696744,0.7303244950463081,0.002401467885533884
1.0,-0.018592201728601102,0.003748298468985191,0.08795865766072272,0.002761967486935165,0.21947950845702363,0.0021556081081764394,0.36903955688402335,0.0039110778102292906,0.45618404382432376,0.0022524651390813033,0.5285269777850289,0.002624281034083549,0.6052739305983269,0.0027561779490834558,0.6540134946888511,0.0022550152332390314,0.7384013545831859,0.002479981391779052,0.7412144168377737,0.0025130735611778336
1.5,-0.011984376326507316,0.0033534372078644365,-0.008663530381200643,0.0027069054677573037,0.09572985386963559,0.0034760443421954913,0.2436116061486469,0.003813245763921655,0.33600658050981147,0.002645464423605113,0.41633996559936054,0.0021397515072336558,0.5030153419678449,0.0021491766965821596,0.5595986188578113,0.0034743577546373404,0.6599606623702063,0.005077952615363518,0.6673696867407546,0.0023180732082913012
2.0,-0.009855167101718586,0.00272911835940036,-0.04933590628067365,0.0015349990537308414,0.02252530476098911,0.0022157778723865735,0.15676674548822445,0.004010577226357043,0.24961314435127474,0.0030192189153230753,0.33310411948920343,0.002846252875676658,0.4228922910759567,0.0033855968823161744,0.48471454597804436,0.004525982188994768,0.6004114196715404,0.004754453320439428,0.6105475186061741,0.0038663037415423212
2.5,-0.007397052237256997,0.0024165332684961483,-0.062462683446986175,0.002858634485976671,-0.01955632756770965,0.0018588306547072699,0.09526220931006614,0.0034909470317229015,0.18379663796558676,0.0030821673304506155,0.2668692075823359,0.003106221421317483,0.35759162654474946,0.0040639202245515114,0.4214410878036803,0.003848477817179242,0.5447029474583881,0.004312833525634873,0.5596140476129233,0.0031624275548081796
3.0,-0.00663502226511325,0.0027615286453836194,-0.0631039984200817,0.0023875809483066015,-0.04443297710791837,0.002209749733110015,0.05070134379930902,0.0029738934993697795,0.13372324879487096,0.0022055795598823107,0.21351868875830843,0.0034135613276153475,0.30416278211213577,0.004009137165871256,0.3693901545272036,0.0037696287998592315,0.4966660536484616,0.0032192160472883555,0.5165907645891027,0.002030828442534451
3.5,-0.005924676265684841,0.0025082952721763607,-0.059266718161350075,0.002403985575516327,-0.0565449872463762,0.00180278529256495,0.019580553608641867,0.0026775478886379035,0.09569104991490335,0.0029209014995022686,0.17045528557557682,0.003933684380058284,0.26042116598953263,0.004631930566365599,0.3244359415473421,0.00429249168535619,0.45679012408105973,0.003476698475037631,0.47901689841951994,0.0024670483948787503
4.0,-0.004111570686551437,0.0017708137877925501,-0.05252203752286187,0.002305491002595054,-0.059513971440002554,0.0031540019366025087,-0.0029363924525952654,0.0037823493511442447,0.06444327765932355,0.00276615402713924,0.13516521122375988,0.002693590048878314,0.22283597677633998,0.004260156003109207,0.2859684141117216,0.004765989476355076,0.41799542143605606,0.004348318832790176,0.4432111259001286,0.0029940625432136603
4.5,-0.0018333814850924357,0.0028248295264752046,-0.044268649351139194,0.00252680307729987,-0.05944479904899149,0.0017017910294772844,-0.017859343500651374,0.0022830669356118617,0.03958117730380434,0.003071143276225819,0.10689799906847972,0.0030130664198321274,0.1908932672185554,0.003554859629431478,0.25308773035717574,0.0035318138046797534,0.38795037172838487,0.002147874347743693,0.41543341389082655,0.002763597464102625
5.0,-0.002586002565459787,0.0023578989683275477,-0.03922316624234214,0.004159923975230883,-0.05549756994908591,0.0029791994050564715,-0.029293627405942747,0.0023689410230967336,0.02161782487263559,0.0036811858239776387,0.08393568771557075,0.0025697337989690453,0.16351925082637653,0.0031311448723179143,0.2228324307348186,0.0032881758520127437,0.35371811582503654,0.003824216841068087,0.38373775299299695,0.0029583260992286685
5.5,-0.0003770736208498264,0.002171408143517167,-0.0340309445411483,0.002603365219459282,-0.05086702145575617,0.003946605882327657,-0.03701301352501625,0.001969231854408784,0.009030232320543318,0.0027133415968279458,0.06585528588465916,0.0014641055268085593,0.14332414436082944,0.003724591303280325,0.20035132288021046,0.002318868019806227,0.33629818461330124,0.0029305917579692717,0.3670278702076493,0.002981371546444549
6.0,-0.0022825697813160226,0.002714601829541759,-0.02804829331994958,0.0032466675084939036,-0.04695544551636084,0.0027624790671826357,-0.041199347876450285,0.002213393533120311,-0.002231220369744804,0.0028085806082726017,0.048356151642330945,0.0034471683901957585,0.11952975059682747,0.0023974379590660493,0.17556751844995103,0.003407223554548554,0.30123712221019466,0.005381835243841905,0.3359196334090505,0.003260418406243718
6.5,-0.0026630986638178935,0.0023462249431888656,-0.024051638522962514,0.0033054123461215483,-0.0422671958393457,0.003683017980527416,-0.043223439918451644,0.002109862676554309,-0.010620208899500161,0.003175948607158333,0.034912879464414,0.0027538007837562346,0.10277246999823161,0.0031006249603232517,0.15646098978787698,0.0024580202698852595,0.28208012495049245,0.005089912128647305,0.3169569969737407,0.0037202303508544975
7.0,0.00015849390121680713,0.0019090685062555534,-0.019117243973660242,0.0031111190602449695,-0.037271143056040304,0.0029649074046291684,-0.04327848567929155,0.0024010699949304393,-0.01674231307632764,0.003169868588501767,0.02468722976129447,0.002338740608837602,0.08780204233034537,0.0025272116584766848,0.13759189468610294,0.002092351729188201,0.25908027303815606,0.004409319642804309,0.2960816960972821,0.0034161713269883313
7.5,-0.0014081273678474844,0.002046710729144913,-0.015750497809377387,0.002288980438652167,-0.03294707742907994,0.0030566459653589913,-0.041913983970902104,0.0029298166083108475,-0.021790271668686554,0.0032737758815732263,0.01636596992275502,0.002609537802243853,0.07418200297773467,0.0026207988031423236,0.12256026746975003,0.0017335554231745927,0.24051068835943715,0.003572709498719267,0.2789993129694257,0.00360970439468554
8.0,-0.0024838960051646853,0.0018319135491227947,-0.01448079266870532,0.0020320795510304825,-0.028903451588489747,0.002671226836885379,-0.04122301547373556,0.0019269299999436634,-0.025216156833678928,0.003806754514575497,0.00823881734508476,0.0026106335897324636,0.06309121693690602,0.0025309388538018356,0.10785493187440132,0.0021140803458990698,0.22302881539556724,0.004275302650405856,0.2621934571262253,0.0039217874760613235
8.5,-0.002082064577008487,0.0017370149760595219,-0.01279491305646708,0.0019184096249295782,-0.026520199712427722,0.002861660323068921,-0.03875945795969734,0.00211549245560485,-0.02659269791349598,0.0031646444199039253,0.0019525656728237152,0.0030312903869801856,0.05394515949529267,0.001622424194004042,0.09599206715879068,0.0035686250788537557,0.20715719756481593,0.00507986677134255,0.24780202284560016,0.0041217182110455
9.0,-0.0013791606327999283,0.002290814420918582,-0.012894627590243613,0.001718547690511934,-0.02051619920167059,0.0026576877200367513,-0.037101739528161606,0.0025685721447180052,-0.02774596247330042,0.0035469832116656204,-0.001545077761241401,0.0027023975730439834,0.04534819136264153,0.002597810520219641,0.08522274358924066,0.0025815037358292367,0.19255444876745204,0.00370839754880639,0.23393352723488797,0.003421435587569378
9.5,-0.0002349280821595377,0.002011440394631197,-0.010394937110233014,0.0020816959842370497,-0.017635655346341435,0.0026150657790736517,-0.03466655890999705,0.0029600896151007615,-0.028789600998719484,0.0034066010757965986,-0.005649283311197041,0.00243738556270119,0.03808394545387405,0.0034686952454862094,0.07542210292546357,0.003330408497770151,0.17727282372077052,0.0034627798610226716,0.21992296702113082,0.003263962274019497
10.0,-0.00041655169434524794,0.002669589015546397,-0.008270000305415937,0.001985022748456355,-0.014634492242749889,0.0033576272552842904,-0.03195651192343936,0.0020215386504096045,-0.028822126389095183,0.0025506971272842333,-0.008245271052491995,0.00256625705557023,0.031701117951383646,0.0028572501822031636,0.0676668148195464,0.0036868711490894114,0.1672009739596572,0.003913134240331798,0.209684103564449,0.0033147326257204615
