t,tau_V=0.1 C_vv(t),tau_V=0.1 stdv C_vv(t),tau_V=0.5 C_vv(t),tau_V=0.5 stdv C_vv(t),tau_V=1.0 C_vv(t),tau_V=1.0 stdv C_vv(t),tau_V=2.0 C_vv(t),tau_V=2.0 stdv C_vv(t),tau_V=5.0 C_vv(t),tau_V=5.0 stdv C_vv(t),tau_V=10.0 C_vv(t),tau_V=10.0 stdv C_vv(t),tau_V=20.0 C_vv(t),tau_V=20.0 stdv C_vv(t),tau_V=50.0 C_vv(t),tau_V=50.0 stdv C_vv(t),tau_V=100.0 C_vv(t),tau_V=100.0 stdv C_vv(t),tau_V=200.0 C_vv(t),tau_V=200.0 stdv C_vv(t),tau_V=500.0 C_vv(t),tau_V=500.0 stdv C_vv(t),tau_V=1000.0 C_vv(t),tau_V=1000.0 stdv C_vv(t)
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.05,0.5190438811132368,0.0012847643216367046,0.8179797049060685,0.0008320626637205975,0.8784837241712526,0.0008506005601857115,0.9167126750162433,0.0005934589630262181,0.9464157637157848,0.0002658423823249063,0.9600129896875469,0.000249661714924666,0.9685694963628224,0.0003894263097894588,0.9754554703878828,0.0006073708952251934,0.9787459283025713,0.000729466399613136,0.9808774565761019,0.0006630557944380617,0.9831845051335852,0.00112615047890771,0.9840889821046487,0.0013202314387977861
0.1,0.2912726955598512,0.002125194092743599,0.6996443706891331,0.000826079761444486,0.7966989918479468,0.0006256960426455771,0.8593695865814579,0.0008812416368601337,0.909715837601256,0.0009675382732288329,0.9332851486455226,0.0005741629967042152,0.94857412300956,0.0005078675615955425,0.9612507558473722,0.0009319625601356835,0.967247777452626,0.0011050714550268652,0.9713696577223112,0.0009947890417948703,0.9749948901900733,0.0017672396142493503,0.9765567484431513,0.001966057355878032
0.15000000000000002,0.15977672222200265,0.00226317111217929,0.6058883572775713,0.0010576176905532485,0.7285276309385047,0.000699687381267957,0.8112703677347876,0.001209730726432044,0.8785903426212792,0.0011107552066579739,0.9104966987679367,0.0008431830585776236,0.9310781261639034,0.0008073327450415831,0.9485633893207975,0.00117748465474414,0.9570099867449684,0.001261765106079707,0.9614486537256534,0.003538244703904176,0.9662233567290028,0.005137697485395661,0.9648137689787705,0.006778027125139309
0.2,0.08303932311293445,0.001160121597269924,0.5269857126304734,0.0008908478141078165,0.6700195623390923,0.000905726774191575,0.7688238377742407,0.0016256090538169473,0.8508722578159136,0.0010985371600537059,0.889964603301759,0.0009720446650557969,0.9152682918254726,0.0007048274017002318,0.9373565879686563,0.0014013142148690343,0.9476410887569348,0.0017105553033419684,0.9548707193382996,0.0012940283121634496,0.9609510071636367,0.0022477253710502638,0.9634600576325987,0.0022459518794831243
0.25,0.03733238855616884,0.0024995570011245843,0.4594699011337389,0.0012232541293988322,0.6178430929910318,0.001043786343753921,0.7303214850447525,0.000800637356152442,0.8249777941480729,0.0010841556857445148,0.8711747958066329,0.000973035157886789,0.9007709242193493,0.0009422218205693661,0.9265849954746157,0.001915896673689107,0.9389945214046624,0.0020706391666663972,0.9474039366612923,0.0015513815392374656,0.9547645254849004,0.002544177735536786,0.9575882081037734,0.0026860550079502747
0.30000000000000004,0.010696230269391194,0.003075685926839828,0.40065077871239546,0.0015669360845178958,0.5712819446326283,0.001099656512047799,0.6954883919250153,0.0007652619676464471,0.8013110475335921,0.0014445062001446818,0.8534241928552433,0.0010689251332748246,0.8872389639462879,0.0012646418695931993,0.9167944628250491,0.0019755467209530914,0.9309130734636115,0.002195302054161877,0.9397751986863148,0.0035816626736418587,0.9476591407476317,0.0057535850732797775,0.9474088096099561,0.006861568495460904
0.35000000000000003,-0.00478051508797229,0.0027763155052037275,0.3493610565011621,0.0020661046323808517,0.5286309162715438,0.0013617353752768528,0.6629880130653796,0.0009033906235028344,0.7792485802583216,0.00165751508063463,0.8372497594814801,0.0007529830221155039,0.8745779404779389,0.0013158873631512206,0.90746393393794,0.0020103610841326032,0.923491061989472,0.002381587883528588,0.9343860930687082,0.0016462588890692434,0.9434698162441685,0.0028364355592577057,0.9472785211551794,0.003100160650494527
0.4,-0.013370268412214332,0.0018134157091069469,0.30431242071621484,0.00213186617376521,0.4896285149793357,0.0017324511420991194,0.6323827420080539,0.0013403320112317589,0.758590544802994,0.0017083751078041602,0.8215761729936608,0.0009343292436009168,0.862680907268123,0.001401880920322784,0.8985254848681399,0.0022095357106182256,0.9161889558597325,0.002529718215382462,0.9282535114719267,0.0018460830963470947,0.9386124110785694,0.0032338783775636946,0.9423839681842024,0.0033748746336204178
0.45,-0.017819107179129108,0.0017652043868951253,0.26412540240278154,0.003060197865074071,0.45374432488113203,0.0015665715788802282,0.6046037666333226,0.001391386251716658,0.7390309958232933,0.0016661765936056457,0.8067452639596958,0.0012562610147181233,0.8513253613536316,0.001565405279499042,0.8905086088034473,0.002460222698549508,0.9096304625359902,0.002682833085991372,0.9219036525924539,0.004016649296264285,0.932747184294074,0.005851344995439502,0.9334104765878578,0.006979647417529703
