t,Delta T=0.05 C_vv(t),Delta T=0.05 stdv C_vv(t),Delta T=0.1 C_vv(t),Delta T=0.1 stdv C_vv(t),Delta T=0.15 C_vv(t),Delta T=0.15 stdv C_vv(t),Delta T=0.2 C_vv(t),Delta T=0.2 stdv C_vv(t),Delta T=0.225 C_vv(t),Delta T=0.225 stdv C_vv(t),Delta T=0.25 C_vv(t),Delta T=0.25 stdv C_vv(t),Delta T=0.3 C_vv(t),Delta T=0.3 stdv C_vv(t)
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.05,0.9479977156542112,0.0005128685124822964,0.9480686928744045,0.0004059307994417182,0.9513665187120152,0.0005908344739369866,0.957148443635929,0.0007614225475570916,0.958695673869364,0.0013529219912199332,0.9620653546465782,0.0007486306235052317,0.9583440205647726,0.003183721752254442
0.1,0.9093949552096129,0.0010176171851713162,0.9095369407772896,0.00047444514748046424,0.9150523295888764,0.00075987558168446,0.9252384886495643,0.0013939654913098986,0.9287628499715368,0.0014580796711909183,0.9350309898931901,0.0010358878019599345,0.9392891080969135,0.001859225175341437
0.15000000000000002,0.8768700625081539,0.0014883001429810611,0.8769023359575272,0.0007747844130461034,0.8841876972443987,0.0010314195128449599,0.8977772894586338,0.0019556301506952357,0.9028660341775993,0.00176781016846298,0.9111412534437877,0.001379214221031205,0.9169764489557599,0.003564486403091336
0.2,0.8484394527916352,0.001520767358133727,0.8482569101891,0.0007532720333436014,0.8570268311739166,0.0010435031522364859,0.8735771675786772,0.002009793355903968,0.8800166490098187,0.001749916265476629,0.890325845800248,0.0017200495244108888,0.901477622141069,0.001970410353153426
0.25,0.8231343165799598,0.0018078832590654773,0.8229054746218747,0.000796117911890511,0.8328562161120392,0.0012679805751376692,0.8516126842957373,0.002289327542219878,0.8590446528602286,0.0017633727625753937,0.8712137145300286,0.002227763771262877,0.8843927683544599,0.002436702991301917
0.30000000000000004,0.8003432133568804,0.0019801961447249205,0.7998526079777583,0.0008967410643434138,0.810868350314385,0.001559422348344896,0.83173171216868,0.0025685693683226408,0.8401973307632314,0.001883867381875373,0.8537051424605199,0.002558059430176246,0.8694200999767535,0.0028417055030960153
0.35000000000000003,0.7795561104082236,0.0021395645874622174,0.7789895437867431,0.0009165508883390912,0.7904770572685245,0.0017563033137758587,0.81327780741362,0.0028090948981151025,0.822766860951172,0.0019017082451571372,0.8373503086668853,0.0028559108568603302,0.8566525875486585,0.0023158209103707177
0.4,0.7601172031025808,0.002501611963028626,0.7596651199557056,0.0011664096007761764,0.7716733919576542,0.0020061599243406084,0.7961816516861568,0.003164569604238938,0.806512783534264,0.0020281150166113885,0.821962072599225,0.002970296042209635,0.8425332258290388,0.002088807354061106
0.45,0.7422640542231684,0.002738614087050433,0.7416581008865707,0.0012988216889316625,0.7541974625289407,0.0018289714445722212,0.7801638585753977,0.0030601235713794746,0.7911979507205341,0.0020709078943710662,0.8077746810878615,0.003347049459862937,0.8317101224978988,0.0035398979672176863
